qid,question,split,coverage,coverage_note,golden_kind,golden_status,golden_revision,golden_display,golden_value,rubric,must_state,n_required,required_entities,tags,has_structural_alternate
storefront-tour-top-category,"Which product category brings in the most revenue, and how much?",dev,,,rows,verified,1,"1 rows: [{""category"":""Outerwear"",""revenue"":464861.08000000793}]","[{""category"": ""Outerwear"", ""revenue"": 464861.08000000793}]","Correct if it names Outerwear as the top category and gives its revenue as about $464,861 (accept $464,000-$465,700, or a figure rounded to $465k). Wrong if it names another category, or a revenue off by more than $1,000.","Outerwear, about $464,861",1,measure:order_items:total_sales,rank | join | modeled,false
storefront-tour-top-margin-brand,Which brand sells at the highest margin rate?,dev,,,rows,verified,1,"1 rows: [{""brand"":""Harbor"",""margin_rate"":0.5021976966213827}]","[{""brand"": ""Harbor"", ""margin_rate"": 0.5021976966213827}]","Correct if it names Harbor, with a margin rate of about 50.2% (accept 49.7-50.7, or 0.502 as a fraction). Wrong if it names another brand. A margin rate computed per line and averaged, rather than as total margin over total revenue, lands near the same figure for this data and is acceptable so long as the brand is Harbor and the rate is stated.","Harbor, margin rate about 50.2%",0,,ratio | join | modeled,false
storefront-tour-peak-month-2025,Which month of 2025 had the highest revenue?,dev,,,rows,verified,1,"1 rows: [{""order_month"":""2025-12-01T00:00:00.000Z"",""revenue"":125923.83999999988}]","[{""order_month"": ""2025-12-01T00:00:00.000Z"", ""revenue"": 125923.83999999988}]","Correct if it names December 2025, with revenue about $125,924 (accept $125,400-$126,500, or 'about $126k'). Wrong if it names another month. Naming the month without a figure is acceptable: the question asks which month.","December 2025, about $125,924",0,,time | filter | modeled,false
storefront-tour-orders-per-customer,How many orders does the average customer place?,dev,,,scalar,verified,1,orders_per_customer = 11.29,"{""orders_per_customer"": 11.293634496919918}","Correct if it gives about 11.3 orders per customer (accept 11.0-11.6). Wrong if it gives the line-item count per customer (about 26), or the raw order count. A stated basis of 'customers who have ordered' (974) rather than all customers on file (1,000) is the correct reading, since the fact table only knows the former.",about 11.3 orders per customer,0,,ratio | grain | modeled,false
storefront-tour-top-customer-spend,Who is our single biggest customer by total spend?,dev,,,rows,verified,1,"1 rows: [{""customer_id"":884,""spend"":8817.56}]","[{""customer_id"": 884, ""spend"": 8817.56}]","Correct if it names Delilah Okafor (customer_id 884) with about $8,818 of spend (accept $8,750-$8,900). WRONG if it names Mila Costa with about $17,988: that is three different customers who share a name, collapsed by grouping on full_name instead of customer_id. Naming the customer id, or the name with the id, is ideal; the name alone is acceptable only if it is Delilah Okafor.","Delilah Okafor, customer_id 884, about $8,818",1,measure:order_items:total_sales,rank | join | trap | modeled,false
storefront-tour-net-sales-2025,"What were net sales in 2025, excluding cancelled and returned items?",dev,,,scalar,verified,1,"net_sales = 834,215.62","{""net_sales"": 834215.6199999977}","Correct if it gives about $834,216 (accept $833,000-$835,500). WRONG if it gives about $912,857: that is gross sales, which is what the model's total_sales measure returns, because total_sales carries no status filter. An answer that reports gross while stating plainly that it could not exclude cancelled and returned items is a near match, not a match.","about $834,216 of net sales for 2025",2,dimension:order_items:status | measure:order_items:total_sales,filter | convention | gap,false
storefront-tour-signup-cohort-2025,How much revenue came from customers who signed up in 2025?,dev,,,scalar,verified,1,"cohort_revenue = 488,970.54","{""cohort_revenue"": 488970.53999999806}","Correct if it gives about $488,971 (accept $487,500-$490,500). The model defines no cohort measure, but customers.signup_date IS exposed as a dimension and the customers join is declared, so the answer is reachable by filtering on it -- this case tests whether the agent builds the two-step route, not whether the model has the concept. An answer that says it cannot be determined is a no match, because the route exists.","about $488,971 from the 2025 signup cohort",2,dimension:customers:signup_date | measure:order_items:total_sales,cohort | join | construction,false
storefront-tour-avg-discount,"On average, how far below list price do we actually sell?",dev,,,scalar,verified,1,discount_off_list = 0.05,"{""discount_off_list"": 0.05432780211750605}","Correct if it gives a discount of about 5.4% off list (accept 5.0-5.9%, stated either as a percentage or as selling at about 94.6% of list). The model names no discount measure, but products.retail_price is exposed as a dimension, so the answer is reachable. Note the grain trap: retail_price belongs to the product, so summing it directly is a symmetric aggregate over distinct products and gives a nonsense denominator -- the correct route is a per-line expression. Both the line-weighted figure (5.43%) and the unweighted per-line average (5.41%) are acceptable.",about 5.4% below list price,0,,ratio | join | construction | grain,false
storefront-tour-top-region,Which sales region brings in the most revenue?,dev,,,rows,verified,1,"1 rows: [{""region"":""South"",""revenue"":781182.0799999975}]","[{""region"": ""South"", ""revenue"": 781182.0799999975}]","Correct if it names the South, with revenue about $781,182 (accept $779,000-$783,500, or 'about $781k'). Wrong if it names another region. This one reaches the regions lookup through customers.state, two joins from the fact table.","South, about $781,182",1,measure:order_items:total_sales,rank | join-depth | modeled,false
storefront-tour-best-customers,Who are our best customers?,dev,,,criteria,verified,1,(unanswerable -- the model cannot answer this),,"This question has no single defensible answer and is here to see what the agent does with one. Match if the answer states which definition of 'best' it used -- total spend, order count, or gross margin -- and the customers it names are correct under that definition, identified by customer_id or by a name that is unique on file. Near match if it gives a defensible ranking but never says what 'best' means. No match if it groups customers by full_name alone, which merges distinct people who share a name, or if it names customers that are top under no definition. Asking the user which definition they want, instead of answering, is a match: the question is genuinely underspecified.","which definition of 'best' it used, and customers correct under that definition",0,,ambiguous | criteria,false
storefront-tour-summer-sales-2025,What were our summer sales in 2025?,dev,,,scalar,verified,1,"summer_sales = 267,422.53","{""summer_sales"": 267422.5299999996}","The company's sales calendar defines summer as 25 May to 15 September inclusive (as-received/questions.md). Correct if it gives about $267,423 for that window (accept $266,000-$268,800). WRONG if it gives about $213,939, which is the meteorological June-August reading, or any other window's figure reported as though it were summer. A near match if it states the window it used plainly -- 'summer, taken as June to August, was $213,939' -- because the answer is then checkable and only the convention is missing. Asking which window the business means is a match. Nothing in storefront.malloy expresses a season, so no route through the model supplies this.","about $267,423, for 25 May to 15 September",1,measure:order_items:total_sales,convention | time | gap | unmodeled-convention,false
storefront-tour-customer-count-basis,How many customers do we have?,dev,,,criteria,verified,1,(unanswerable -- the model cannot answer this),,"Two answers are defensible and the model resolves neither: 1,000 customers are on file, and 974 have placed at least one order. The model's customer_count measure returns 974, because it counts through the order_items fact table. Match if the answer gives either figure AND says which basis it used. Near match if it gives 974 or 1,000 with no basis stated. No match if it gives any other number, or asserts one figure as the only answer while dismissing the other. Naming both, with the difference explained, is the best answer and a match.","974 or 1,000, and which basis it used",0,,ambiguous | no-disambig | criteria,false
