attempt_key,run_id,qid,sample,phase,verdict,outcome,counts,reason,confidence,judge_version,rubric_sha,golden_revision,gold_status,contaminated,judge_verdict,must_not_use_hits,artifactPath
baseline-01|storefront-tour-top-category|None|baseline,baseline-01,storefront-tour-top-category,,baseline,match,pass,true,"The re-executed rows confirm Outerwear is top with revenue 464861.08000000793, exactly matching the golden, and the answer's prose states Outerwear at $464,861.08, well within the rubric's tolerance.",10,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-top-category/judge.md
baseline-01|storefront-tour-top-margin-brand|None|baseline,baseline-01,storefront-tour-top-margin-brand,,baseline,match,pass,true,"The re-executed rows confirm Harbor tops the list with margin_rate 0.5021976966213827 (~50.2%), exactly matching the golden's value and brand, and the answer states this clearly with the correct figure.",10,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-top-margin-brand/judge.md
baseline-01|storefront-tour-peak-month-2025|None|baseline,baseline-01,storefront-tour-peak-month-2025,,baseline,match,pass,true,"The answer names December 2025 with revenue $125,923.84, exactly matching the golden's order_month 2025-12-01 and revenue 125923.84; the re-executed query rows confirm December is the highest month.",10,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-peak-month-2025/judge.md
baseline-01|storefront-tour-orders-per-customer|None|baseline,baseline-01,storefront-tour-orders-per-customer,,baseline,match,pass,true,"The answer computes order_count/customer_count = 11000/974 = 11.293634..., matching the golden's orders_per_customer value exactly, and uses the correct basis (974 customers who ordered, not all 1,000), which the rubric explicitly endorses.",9,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-orders-per-customer/judge.md
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,,baseline,match,pass,true,"The re-executed final query returns customer_id 884, Delilah Okafor, total_sales 8817.56, matching the golden exactly, and the answer names both the id and the name with the correct figure; it also correctly avoids the full_name-collision trap the rubric warns about.",10,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-top-customer-spend/judge.md
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,,baseline,match,pass,true,"The answer's final query filters status != 'Cancelled' and != 'Returned' for 2025, matching the golden's methodology exactly, and the re-executed result (834215.6199999977) matches the golden precisely.",10,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-net-sales-2025/judge.md
baseline-01|storefront-tour-signup-cohort-2025|None|baseline,baseline-01,storefront-tour-signup-cohort-2025,,baseline,match,pass,true,"The answer's query filters on customers.signup_date = @2025 and sums total_sales, exactly the two-step route the rubric asks for; the re-executed result 488970.53999999806 matches the golden exactly.",10,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-signup-cohort-2025/judge.md
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,baseline,match,pass,true,"The answer computes avg((retail_price - sale_price)/retail_price) per line = 5.414%, which is exactly the unweighted per-line average the rubric explicitly accepts (5.41%), and it correctly avoided the grain trap by using a per-line expression rather than summing retail_price directly; the re-executed query confirms the same 5.414399935747929% figure.",9,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-avg-discount/judge.md
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,,baseline,match,pass,true,"The re-executed rows confirm South leads with revenue $781182.08, exactly matching the golden's region and value, and the answer correctly reports this with the right query path through the region dimension (which joins via customers.state per the model).",10,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-top-region/judge.md
baseline-01|storefront-tour-best-customers|None|baseline,baseline-01,storefront-tour-best-customers,,baseline,match,pass,true,"The answer explicitly states its definition of 'best' as total revenue (total spend), uses the top_customers view which groups by customer_id alongside full_name (so same-named distinct people aren't merged), and the re-executed rows match the reported figures exactly (Delilah Okafor $8817.56/43 orders down to Nora Ali $7408.74/38 orders). This satisfies the rubric's match condition: stated definition plus correctly identified customers under it.",9,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-best-customers/judge.md
baseline-01|storefront-tour-summer-sales-2025|None|baseline,baseline-01,storefront-tour-summer-sales-2025,,baseline,near_match,neither,true,"The rubric defines summer 2025 as May 25 to Sep 15, expecting ~$267,423; the answer instead computed June 1 to Aug 31 (the meteorological window), yielding $213,939.34, which the rubric explicitly flags as WRONG when reported as though it were summer. The answer does state its window plainly ('summer 2025 (June 1 – Aug 31, 2025)'), which the rubric says qualifies as a near_match since it is checkable and only the convention is missing.",8,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-summer-sales-2025/judge.md
baseline-01|storefront-tour-customer-count-basis|None|baseline,baseline-01,storefront-tour-customer-count-basis,,baseline,match,pass,true,"This is a criteria golden: the answer reports 1,000 (one of the two defensible figures, confirmed by the re-executed query) and explicitly states its basis — that it queried the `customers` source directly rather than through the order_items fact table, and flags that this may differ from 'every record in an underlying customer table.' The interpretive gloss (calling 1000 the 'order history' number) inverts the rubric's own framing of which figure is the fact-table-derived 974 vs. the on-file 1000, but the answerer is faithfully citing the model's own doc comment ('People who have placed orders') rather than inventing a basis, and the verifiable technical basis — which query/source produced the number — is stated correctly and unambiguously. The rubric's bar is 'gives either figure AND says which basis it used,' which this clears even though the conceptual label is muddled.",7,5,9c489f6ae339d94a3fe5ff6b3f030c1a9bfb8fd1db607cda58ee238a98c35454,1,verified,false,,,artifacts/storefront-tour-customer-count-basis/judge.md
